skill_name,category,difficulty,weekly_hours_needed,cost_level,platform,prerequisite_skills,interest_tags,description,resource_1_name,resource_1_url,resource_2_name,resource_2_url,resource_3_name,resource_3_url
Django Web Framework,Web Development,Intermediate,7,Free,Official Docs/YouTube,Python Basics,tech/web/coding,Build full-stack web applications using Python Django,Django Official Docs,https://docs.djangoproject.com/en/stable/intro/tutorial01/,CS50 Web Django,https://www.youtube.com/watch?v=w8Z7NO_AnhI,freeCodeCamp Django,https://www.youtube.com/watch?v=F5mRW0jo-U4
Data Visualization,Data Science,Intermediate,5,Free,Coursera,Python for Data Science,data/analytics/design,Create charts and dashboards using Matplotlib and Seaborn,Matplotlib Docs,https://matplotlib.org/stable/tutorials/index.html,Seaborn Tutorial,https://seaborn.pydata.org/tutorial.html,Kaggle Data Viz,https://www.kaggle.com/learn/data-visualization
Freelancing Skills,Business,Intermediate,3,Free,YouTube/Upwork,None,business/career/finance,Find clients manage projects and earn online,Upwork Guide,https://www.upwork.com/resources/how-to-get-started-on-upwork,Fiverr Learn,https://learn.fiverr.com/,YouTube Freelancing,https://www.youtube.com/watch?v=i3A3P5C3mGU
SEO & Content Strategy,Marketing,Intermediate,5,Free,Moz/HubSpot,Digital Marketing Basics,marketing/business/writing,Rank content on search engines and grow organic traffic,Moz Beginner SEO,https://moz.com/beginners-guide-to-seo,Google SEO Starter,https://developers.google.com/search/docs/fundamentals/seo-starter-guide,HubSpot SEO,https://blog.hubspot.com/marketing/seo
Network Fundamentals,IT,Intermediate,6,Paid,Cisco NetAcad,None,tech/IT/career,How the internet and computer networks work,Cisco NetAcad,https://www.netacad.com/courses/networking,Professor Messer,https://www.professormesser.com/,freeCodeCamp Networking,https://www.youtube.com/watch?v=qiQR5rTSshw
Canva Advanced Design,Design,Intermediate,4,Free,Canva/YouTube,Graphic Design Basics,design/creative/business,Create professional presentations social posts and branding,Canva Design School,https://www.canva.com/learn/,YouTube Canva,https://www.youtube.com/watch?v=9PxhE0URDQU,Canva Templates,https://www.canva.com/templates/
Emotional Intelligence,Soft Skills,Intermediate,2,Free,Coursera,None,life/leadership/communication,Understand and manage emotions for better relationships,Coursera EI,https://www.coursera.org/learn/emotional-intelligence-leadership,Yale Science of Well-Being,https://www.coursera.org/learn/the-science-of-well-being,YouTube EI,https://www.youtube.com/watch?v=n9h8fG1-WM8
Deep Learning,AI/ML,Advanced,10,Free,fast.ai/Coursera,Machine Learning Basics,tech/AI/data,Neural networks CNNs RNNs using TensorFlow and Keras,fast.ai Course,https://course.fast.ai/,DeepLearning.AI Coursera,https://www.coursera.org/specializations/deep-learning,TensorFlow Official,https://www.tensorflow.org/tutorials
React Native,Mobile Development,Advanced,9,Paid,Udemy,React.js,tech/mobile/coding,Build iOS and Android apps using JavaScript,React Native Docs,https://reactnative.dev/docs/getting-started,Expo Tutorial,https://docs.expo.dev/tutorial/introduction/,freeCodeCamp RN,https://www.youtube.com/watch?v=0-S5a0eXPoc
Cloud Computing AWS,IT,Advanced,10,Paid,AWS Training,Network Fundamentals,tech/IT/career,Deploy and manage applications on Amazon Web Services,AWS Free Training,https://aws.amazon.com/training/,AWS Cloud Practitioner,https://aws.amazon.com/certification/certified-cloud-practitioner/,freeCodeCamp AWS,https://www.youtube.com/watch?v=SOTamWNgDKc
Data Engineering,Data Science,Advanced,10,Paid,Coursera,SQL Basics,data/tech/analytics,Build data pipelines ETL processes and data infrastructure,DataTalks DE Course,https://github.com/DataTalksClub/data-engineering-zoomcamp,Coursera Data Eng,https://www.coursera.org/professional-certificates/ibm-data-engineer,freeCodeCamp DE,https://www.youtube.com/watch?v=ysz5S6PUM-U
Cybersecurity Basics,IT,Advanced,8,Paid,Coursera/TryHackMe,Network Fundamentals,tech/IT/career,Protect systems from threats and understand ethical hacking,TryHackMe,https://tryhackme.com/,Google Cybersecurity Coursera,https://www.coursera.org/professional-certificates/google-cybersecurity,Cybrary,https://www.cybrary.it/
Brand Strategy,Marketing,Advanced,7,Paid,Coursera,Copywriting,business/marketing/leadership,Develop and position a brand for long-term growth,Coursera Brand Management,https://www.coursera.org/learn/brand-management,Seth Godin Blog,https://seths.blog/,YouTube Brand Strategy,https://www.youtube.com/watch?v=jOVTJB3wALk
Financial Modeling,Finance,Advanced,9,Paid,CFI,Excel & Google Sheets,finance/business/data,Build financial models for business valuation and forecasting,CFI Free Courses,https://corporatefinanceinstitute.com/resources/career-map/sell-side/capital-markets/financial-modeling/,Investopedia Modeling,https://www.investopedia.com/terms/f/financialmodeling.asp,YouTube Financial Modeling,https://www.youtube.com/watch?v=J-IWgj-cf0o
Product Management,Business,Advanced,8,Paid,Coursera/ProductSchool,None,business/tech/leadership,Define and launch digital products from idea to market,Product School,https://productschool.com/resources/,Coursera PM,https://www.coursera.org/professional-certificates/google-project-management,Lenny's Newsletter,https://www.lennysnewsletter.com/
Machine Learning Engineering,AI/ML,Advanced,12,Paid,Coursera,Deep Learning,tech/AI/data,Deploy ML models to production at scale,MLOps Coursera,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Made With ML,https://madewithml.com/,Full Stack Deep Learning,https://fullstackdeeplearning.com/
Leadership & Management,Soft Skills,Advanced,5,Paid,Coursera/LinkedIn Learning,Emotional Intelligence,leadership/career/business,Lead teams manage conflict and drive results,Coursera Leadership,https://www.coursera.org/learn/leading-teams,LinkedIn Learning,https://www.linkedin.com/learning/topics/leadership-and-management,YouTube Leadership,https://www.youtube.com/watch?v=lmyZMtPVodo
